"","Profundidad","Réplica","Planta","Longitud radical (cm)","Longitud aérea (cm)"
"427",8,3,7,0,0
"428",8,3,8,0,0
"429",8,3,9,0,0
"430",8,3,10,0,0
"431",8,4,1,32,3.2
"432",8,4,2,0,0
"433",8,4,3,0,0
"434",8,4,4,0,0
"435",8,4,5,0,0
"436",8,4,6,0,0
"437",8,4,7,0,0
"438",8,4,8,0,0
"439",8,4,9,0,0
"440",8,4,10,0,0
"441",8,5,1,0,0
"442",8,5,2,0,0
"443",8,5,3,0,0
"444",8,5,4,0,0
"445",8,5,5,0,0
"446",8,5,6,0,0
"447",8,5,7,0,0
"448",8,5,8,0,0
"449",8,5,9,0,0
"450",8,5,10,0,0
"451",8,6,1,0,0
"452",8,6,2,0,0
"453",8,6,3,0,0
"454",8,6,4,0,0
"455",8,6,5,0,0
"456",8,6,6,0,0
"457",8,6,7,0,0
"458",8,6,8,0,0
"459",8,6,9,0,0
"460",8,6,10,0,0
"461",8,7,1,0,0
"462",8,7,2,0,0
"463",8,7,3,0,0
"464",8,7,4,0,0
"465",8,7,5,0,0
"466",8,7,6,0,0
"467",8,7,7,0,0
"468",8,7,8,0,0
"469",8,7,9,0,0
"470",8,7,10,0,0
"471",8,8,1,33.5,5
"472",8,8,2,0,0
"473",8,8,3,0,0
"474",8,8,4,0,0
"475",8,8,5,0,0
"476",8,8,6,0,0
"477",8,8,7,0,0
"478",8,8,8,0,0
"479",8,8,9,0,0
"480",8,8,10,0,0
"481",8,9,1,0,0
"482",8,9,2,0,0
"483",8,9,3,0,0
"484",8,9,4,0,0
"485",8,9,5,0,0
"486",8,9,6,0,0
"487",8,9,7,0,0
"488",8,9,8,0,0
"489",8,9,9,0,0
"490",8,9,10,0,0
"491",8,10,1,30,4.5
"492",8,10,2,28,4
"493",8,10,3,0,0
"494",8,10,4,0,0
"495",8,10,5,0,0
"496",8,10,6,0,0
"497",8,10,7,0,0
"498",8,10,8,0,0
"499",8,10,9,0,0
"500",8,10,10,0,0
